orderId,txId,tDat,customerId,articleId,price,salesChannelId
0,6910064,2019-03-03,00264b7d4cd6498292e8a355b699c2d07725d123f04867fc4cd204dc4fa286a5,691695001,0.0121864406779661,1
0,6910065,2019-03-03,00264b7d4cd6498292e8a355b699c2d07725d123f04867fc4cd204dc4fa286a5,189616014,0.0152372881355932,1
1,31548043,2020-09-16,005c6d3bb66c86aab606814cd9995a12f99b3a44b58c72b89fdde2d7b3f42e0b,893064003,0.0169322033898305,2
1,31548044,2020-09-16,005c6d3bb66c86aab606814cd9995a12f99b3a44b58c72b89fdde2d7b3f42e0b,859077005,0.0254067796610169,2
2,19758461,2019-12-02,00abec3de294e03d192db15b91e154853ee1c89415e7cd38e163dddd8ae0ff06,573937001,0.0304915254237288,2
2,19758462,2019-12-02,00abec3de294e03d192db15b91e154853ee1c89415e7cd38e163dddd8ae0ff06,781688001,0.0423559322033898,2
3,673515,2018-10-03,00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,648738016,0.0423559322033898,1
3,673516,2018-10-03,00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,633136003,0.0338813559322033,1
4,21813384,2020-01-30,00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,694848006,0.0304915254237288,1
5,22363830,2020-02-15,00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,694848006,0.0304915254237288,1
5,22363831,2020-02-15,00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,557994019,0.0304915254237288,1
6,26424182,2020-05-28,00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,739590022,0.0169322033898305,1
6,26424183,2020-05-28,00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,559616017,0.0254067796610169,1
6,26424184,2020-05-28,00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,559616013,0.021593220338983,1
6,26424185,2020-05-28,00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,879944002,0.0169322033898305,1
7,29165172,2020-07-18,00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,694848008,0.0304915254237288,1
8,31615906,2020-09-18,00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,557994014,0.0304915254237288,1
8,31615907,2020-09-18,00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,694848016,0.0304915254237288,1
9,1149093,2018-10-14,0132cd2eb3c6b1f66784f65f94ddd8352add2653e0caf5fc564fcfe4eb977863,675281001,0.0254067796610169,2
9,1149094,2018-10-14,0132cd2eb3c6b1f66784f65f94ddd8352add2653e0caf5fc564fcfe4eb977863,636938005,0.0338813559322033,2
