customerId,fn,active,clubMemberStatus,fashionNewsFrequency,age,postalCode
00264b7d4cd6498292e8a355b699c2d07725d123f04867fc4cd204dc4fa286a5,1.0,1.0,ACTIVE,Regularly,53.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
005c6d3bb66c86aab606814cd9995a12f99b3a44b58c72b89fdde2d7b3f42e0b,,,PRE-CREATE,NONE,,177b4a2258a85a2247daaa7cdffba96a74c741ea8a66059b80509a3f9a2a9c8d
00abec3de294e03d192db15b91e154853ee1c89415e7cd38e163dddd8ae0ff06,,,ACTIVE,NONE,49.0,86557a458110ac98f4ca80e5a815ba2e8ea086dd8039b007fe7604ee1587140f
00f311a42124fc44d117135f34e1fca29fcac271e6fbd07105b661030ddec423,1.0,1.0,ACTIVE,Regularly,55.0,1a80c5651ae36327a86e71d5b967cf62c31126d1b57ae0a42b99302a126ffb03
0132cd2eb3c6b1f66784f65f94ddd8352add2653e0caf5fc564fcfe4eb977863,,,ACTIVE,NONE,49.0,49f7ec29bcacbbf2120af5162f9f99c212e9dd26b48d794d2ad35a92941519ce
01713f103284ab2ba16f525802a6e33b69ffe216ad5b4d09a2dbf6bce6e44827,1.0,1.0,ACTIVE,Regularly,33.0,fdedb8bcffaf04924840f6657e10fe7b451f52c6bf1824d6c4e2bd89d962448d
01a361158e9f5d9a2c1f9b28c46220944ad6cf05b49cf848cd88f437109f8c1d,,,ACTIVE,NONE,30.0,e6f4df8261bc9e9d09b52e040f73d4d90e6ba28d9e35de7ad099addf68b5afe2
02733975f55c272aa891ecbef9cb5af31d6bc2656f992bd74afc023c619d1b71,,,ACTIVE,NONE,29.0,19f6881d22a1f043148a92b95d858749383d5c45b4fce160f202905ca5555eff
027b41d8a4450a86723868cfd0b68911b8f01493ac4258094a117da9be6cd804,,,ACTIVE,NONE,32.0,93dd56a740c89930be4f47fae16cc912b1fd4ac0dde12dab408842090cb3b0bb
02d22d95a9399a25a2e6b9a1c5daf171b57b05cdd5e81a0bde87f12d0dc31fbd,,,ACTIVE,NONE,44.0,69b07dd4cd6bf35e337157015180701bc1d24c9579e52bf61583bd47ad10c97b
033d90d17dff50dd14682a0a028c5a984b8c90b601df834a6a5c97e4cf4b28c2,,,ACTIVE,NONE,21.0,2b339b60f9055e3e880fb8a062c3ee8a0c1ae7000ed4f42cdc53199ed2ef703f
0493608a058118884179e705c1f66f7bfd91719aabea0ada779cc9a14210dcf6,,,ACTIVE,NONE,62.0,550f1be544e4cd67973b5e2d6a9e24bccde87c1d8361ae2e8e7d7e19a414d377
0544e776969215ad79e12fa0407b0e6a4cb53182513744b261aaee56a7d59680,1.0,1.0,ACTIVE,Regularly,24.0,d8ce1979cc44c786217c8130fe367e4b4d088c0bc88d65d29b33e70652ac4792
057b674a88d197c9601fb334b36d74d9f7cfccabf6adf9e6b8b8c9a588fca398,,,ACTIVE,NONE,23.0,a121ef84848f445ff8f0ff8e65e576f9fba7365a1b27740a811644845a10ac3d
06a6caf0cd97cd52683398d599ceaec2e0484e800a401ccd01fb2316581c7a69,,,ACTIVE,NONE,19.0,5f70b53b613e654d9157bbef598736b6156401385a92be3e016ad33e4761aafb
074ff1b34be282249226f3deced831f13d1df8b134152bf06b9b1938f18ca521,1.0,1.0,ACTIVE,Regularly,64.0,c37395d94858ed5b7bc9731630a5ea491897321449e17a40ea9593c5da109044
07b80dee1cba3ff8ec0bc1ac13b1d37dd0d5cc0c3e934ba7becbd18e30992278,,,ACTIVE,NONE,28.0,7dcb5c70c6e2515284cbc66bf92f2009bba0197320a276a27c9656cfc13c9dca
07d33b7f70f109cf6d29569b7d8563e42aed7246cedc16fa1e07e15b4fe70f07,,,ACTIVE,NONE,54.0,7ed57c856999292efe002e1df6f8a2208c54b82bc931bd58abeac63355005dbd
07f0a353d7ff555a1c0d94369dfa40e8f402cb1a32507aec22eddb27c18c8cce,,,ACTIVE,NONE,36.0,2de0cc9ede68389795f4dbe6949a1d23d2d17838e4eec6645efd819b1bbc9be6
08d625605829be3c6b952576e51e063cb1a86f1eb1929c26e96af8521dac2ca9,,,ACTIVE,NONE,45.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
08e46a90b74dbe3be59b359b29de91d7d2ba4f3d28c0fe51a5c36fbc12e9bfef,,,ACTIVE,NONE,60.0,557836df6cc556a5da2511688f65c782703533451761ec48e436117d354d9797
08f97fc1c447b3b7b0283c08a9c1c282157ffa14a4967f1a01c52f544b1e0a51,,,ACTIVE,NONE,22.0,f7a0d8676eab953b9fad0ec72f06b72dc4442b0a8163155641eaf5a51d4c8937
097e98325b875236657bed155749cfe536325bf4f6a08b685229324e3a568801,,,ACTIVE,NONE,25.0,7439378e11b243e375d5684c85bf4ed8e34df96b553ed6e9f012eaceecc74c5c
0993d442fa6f2ccc346f804a97751052b17ffa79b232986234c2ecb3ab95170c,,,ACTIVE,NONE,24.0,38ac6f043496f670015a6dd74a154b72abec423a75451240c34c0410e3828ba2
09a04a8139e9e533030de4443bbf555567ca7c0c6c2d7485353bdfb0d89f3163,,,ACTIVE,NONE,71.0,e7400d86cfb3397dd11f5283dc67be028ed4a750e5bcf97c978ecebb10f4efad
0a1fcf158d7c6e66f63148bacf0b849bffe24a6f9fb375970e734c8584571a9e,,,ACTIVE,NONE,21.0,98b67cb38ce9ec06aa198ca3bc31d65832baf81ed43f7a8c65520682b93a1157
0ab6ba700094ffcb93359ee5e2a367bfea2ced8eed89304ab58c9e1e902c2d65,,,ACTIVE,NONE,25.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
0b2e8d3c1ff33c3e83caad85d273c42167e521091e80391f870a039aea96d1c0,1.0,1.0,ACTIVE,Regularly,50.0,7c1e1fb9004fb7cfabfe133ef9969f4b68387cc5d307e474117aa491ff5b53c0
0b5f86a03742bc80f28132155fb01654ef6f04d1527ebef366ff3dcc239919cf,,,ACTIVE,NONE,32.0,18102b71e84bf4bcd1f7aec771d370421a50b70e9f1ba4445e3675abec14628c
0b98c5239710f8c1c094359b9cfd730a242d7f032258ea8572c44a8a58149b93,,,ACTIVE,NONE,20.0,19df20bbc21791d65231687fc23b48adfabf8d8bc1f4060d9f8480ee5722e84d
0babddb85e2dabe2cb5bdeb5d5af62934b7f11327fde72dd671ac2eea8b10950,1.0,1.0,ACTIVE,Regularly,25.0,30e423b10e7d15ba68f675b7f223928a7e11009da721ba066f59ab08512cb5d9
0bb6ecba97b5d6a30533c4b2ef909a1343750dd830ec143dd5c31e78d8c06f56,1.0,1.0,ACTIVE,Regularly,39.0,2196176a9c003787b2c5244e39d8f5385d4f771633d39ad25a593ee6eb16952e
0be401eaf2fdacf35b7c36ae5d34c23a16a7dae637f23f61186fd5b809eef0a2,1.0,1.0,ACTIVE,Regularly,28.0,4359e79d66f7f557cfe94b8345bb17049eab1a77d42824ab0748fd3e4a7868b6
0bf7dba528d9e636b8fd194c155eab7bda298482dd1f99c604f994144ff68802,1.0,1.0,ACTIVE,Regularly,25.0,74e9818da65a5a29e080907ad7e15ff2b62de91a16d2daaa128e44db80083fd9
0c2b1e11dce29fff5400ef5eadd520cfc7d1239614dfef1725469a98d46901d0,,,ACTIVE,NONE,35.0,6a6c260caa8ffc73030ea9fc4e884e4c990b2434b6708e2c07b7e0f30ac9fc15
0c640d5e5d218ee1e8e97d4333426a3b068257cd6d04586fc35f0e9487e3661b,1.0,1.0,ACTIVE,Regularly,35.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
0c95cd04536d5a15fa28a34049684c764075d3b1f8182bcebb31c55d2dda3e6f,,,ACTIVE,NONE,52.0,a92e8b7146b3bb1a5a446c4bd915e4cab4e10936d39e55dbdf3a7696c9ed09a7
0cfa3e4e0cc56fbdc32489e0d5f5325a1d343810cc5ab8d5a35004ab05e93494,,,ACTIVE,NONE,17.0,9302222e16078e1d45ea22b5969ce66d7072e239c0872c2dce1a0e642f682f90
0d4a91cd12ff48d2a591ce74f277f14530e3733cdd96db29897cc6949f6ed73f,,,ACTIVE,NONE,53.0,72ba072a7c6a6bc6a43efc976118048c92349c30ed0ed659df88c67f6c8a13b5
0ddcd6055c5830c1fda493843d051edb04ce1bf888aa4becf5b839628396541d,1.0,1.0,ACTIVE,Regularly,29.0,6ee8d18b2e8134e839cc01e8b7479d3bed1bbb66fff343fb909b12fbcdb73bd2
0e1818d31284b8866f5e736d9c3ef6b26dce2716273bf3008f086c8426f8505e,1.0,1.0,ACTIVE,Regularly,47.0,f47b1cffcfb9a56c42c83992d84e0f5fe345e2132c9169289418baad6245c8a9
0f9a7ae01d9ad4d8d134f641803bf3ea483e4a6d56090eddac8d7d0c27efcaf8,,,ACTIVE,NONE,27.0,d20b976eba44b364a4fe7d7a7258449a735c1d3f4792b7f23175a2f4b03a29a6
0ff7c487528126c67b95bccdbf5e6c0ec17c52c90ee0eeb48c484c020da3b48a,,,ACTIVE,NONE,22.0,72d80d8592e5abb75f005042d7b5b42ed9be31dd38ec38121baae28acd8bbc17
100b10d3a02137b18336bb9a9ce928c7c3cb76a40f7b0194ec014ec18dff2377,,,ACTIVE,NONE,45.0,fe573b2f6b3963538fc195b40ebb5b9a6be62d6c85c1881a390346e69ca30ae6
107f3afe9eb17b63d63ad9af0c15c1f6fed11fa1ae1866206d82c4483dfe3be7,,,PRE-CREATE,NONE,27.0,91d8f4168a4b4454d53f6bf0e6a2b53f32a9e2cefefe2041ecacb858458b4117
10836e5b02b048e398ffc0880294e7e1d79744b4e5908b6dba8f21b0c2df3147,,,ACTIVE,NONE,42.0,7a4b5f3fff118ec379e24725db3b622a6c9d8b4fb5c9afaed67c749ee52e8c4b
109cf4de7f73324569177d9d4a8fdca0a865c5ea8f24261e39c05856e634db04,,,ACTIVE,NONE,44.0,a1c50d4f691d5507194fa39888df69821a761e2916c68ffc621e265b57d45a6f
11341db1e39b3b5be9c20a58a33825c63e5ec32aeb531a415c43e6b549c527e7,,,ACTIVE,NONE,23.0,66f1059a510c394483c9a50ea445b9a04fd3ca2ebd83609d58a029d402e33872
11b204baf57be16d04d5dc65c4ebe1031d711051407571895b00bddbd659d8c1,,,ACTIVE,NONE,26.0,488ab3cb90e3928c6fa3953e2d09ff4b8d6fadba2c9b5f56f20eb4dce3488c98
121e3607bc29281ca652664ba40c79050b2b8943c1c8ded90e294b7c128be563,,,ACTIVE,NONE,36.0,59f706f6bd20fd1e3ee3c2ab6ec6b77aa9de3d5ede7dba886489228a3bc6b093
